Destination,Duration(days),Travelerage,Travelergender,Travelernationality,Accommodationtype,Accommodationcost,Transportationtype,Transportationcost
"Tokyo, Japan",8,41.0,Male,American,Hotel,900,Plane,400
"Athens, Greece",7,29.0,Male,British,Resort,1200,Flight,100
"Cancun, Mexico",7,25.0,Male,Indonesian,Villa,1400,Car rental,700
Bali,8,34.0,Male,Japanese,Hostel,300,Flight,300
Italy,8,28.0,Male,South Korean,Hotel,400,Train,700
"Vancouver, Canada",10,28.0,Male,American,Villa,800,Plane,800
Bali,7,26.0,Male,Spanish,Hostel,500,Plane,150
Rome,10,26.0,Female,British,Resort,4000,Train,500
New York,8,42.0,Female,Australian,Airbnb,800,Train,400
Bali,8,26.0,Female,Canada,Hotel,700,Train,200
Spain,8,34.0,Female,Canadian,Vacation rental,2500,Train,150
"Phuket, Thai",8,23.0,Female,British,Hostel,7000,Train,300
Canada,7,37.0,Male,Australian,Airbnb,180,Train,500
Tokyo,12,35.0,Male,Moroccan,Hotel,1000,Plane,250
Thailand,7,29.0,Female,Emirati,Hostel,1500,Plane,700
Bali,7,48.0,Male,Brazil,Villa,800,Train,700
Bali,10,32.0,Female,American,Airbnb,400,Car rental,800
Rome,11,30.0,Male,German,Hotel,1100,Plane,200
"Bangkok, Thailand",13,29.0,Male,Korean,Airbnb,500,Car rental,600
Thailand,13,37.0,Male,United Arab Emirates,Vacation rental,1500,Airplane,250
New York,7,45.0,Female,American,Hotel,400,Train,400
Tokyo,11,30.0,Male,British,Resort,600,Train,1000
"Cancun, Mexico",7,37.0,Male,Brazil,Hotel,2500,Plane,1000
"Paris, France",8,28.0,Male,German,Hotel,3000,Plane,400
"Edinburgh, Scotland",13,45.0,Male,American,Airbnb,500,Plane,100
"Bali, Indonesia",10,31.0,Male,British,Airbnb,800,Train,800
London,8,29.0,Female,Emirati,Resort,400,Train,700
Canada,8,32.0,Female,South African,Hotel,200,Plane,800
Bangkok,13,26.0,Female,New Zealander,Hotel,1000,Plane,1000
France,7,34.0,Male,USA,Hostel,150,Flight,1200
"London, UK",14,41.0,Female,American,Hostel,800,Plane,300
"Rome, Italy",11,45.0,Female,Korean,Hotel,400,Flight,1500
Bali,12,28.0,Male,Germany,Hostel,180,Car rental,500
"Berlin, Germany",8,38.0,Male,United Arab Emirates,Resort,1100,Train,100
New York,12,32.0,Male,South African,Hotel,1000,Plane,300
"Sydney, Aus",8,32.0,Male,Spanish,Guesthouse,350,Plane,2500
"Seoul, South Korea",7,45.0,Female,Korean,Hotel,600,Plane,1200
Bali,7,33.0,Male,Taiwan,Vacation rental,3000,Flight,50
"Paris, France",8,38.0,Male,Australian,Hotel,600,Train,700
"Rio de Janeiro, Brazil",9,55.0,Female,Korean,Hostel,1000,Plane,700
"Tokyo, Japan",8,27.0,Female,South African,Airbnb,2000,Car rental,2500
"Cancun, Mexico",8,29.0,Male,Indian,Hotel,1200,Plane,300
"Amsterdam, Netherlands",7,26.0,Male,Italian,Resort,2200,Train,1000
"Tokyo, Japan",10,27.0,Male,Italian,Hotel,600,Plane,700
"Amsterdam, Netherlands",8,55.0,Male,American,Guesthouse,1200,Bus,500
"New York City, USA",12,27.0,Male,Scottish,Hostel,400,Car rental,800
"New York City, USA",8,31.0,Female,Cambodia,Hotel,1000,Plane,120
Thailand,12,28.0,Male,Emirati,Hotel,1000,Plane,700
Paris,10,29.0,Female,Canada,Guesthouse,600,Train,150
Tokyo,12,30.0,Female,Indian,Hostel,6000,Plane,2000
Bangkok,7,29.0,Female,Chinese,Airbnb,800,Plane,600
France,8,37.0,Male,American,Airbnb,700,Plane,150
Greece,8,31.0,Male,Dutch,Villa,900,Plane,2000
Barcelona,9,30.0,Female,South African,Hostel,150,Train,1500
"Barcelona, Spain",14,25.0,Male,Vietnamese,Airbnb,700,Bus,1500
Rome,8,25.0,Male,Brazilian,Hotel,300,Plane,50
Bali,9,25.0,Male,British,Villa,350,Plane,800
"Sydney, Australia",7,39.0,Male,Greece,Hotel,800,Flight,250
"Rio de Janeiro, Brazil",8,26.0,Female,British,Hotel,1500,Plane,700
"Amsterdam, Netherlands",12,35.0,Female,Italian,Hotel,400,Train,800
Tokyo,9,41.0,Female,Cambodia,Hotel,1200,Train,200
"Cape Town, SA",8,31.0,Female,British,Airbnb,1000,Flight,100
Italy,8,45.0,Male,Korean,Guesthouse,350,Train,150
Paris,7,27.0,Male,United Kingdom,Hotel,900,Plane,2000
"Rio de Janeiro, Brazil",8,29.0,Male,Canadian,Hostel,300,Plane,1200
"Berlin, Germany",12,35.0,Male,Australian,Hotel,1500,Flight,700
Paris,8,42.0,Male,Brazilian,Hotel,800,Plane,2500
"Bangkok, Thailand",7,27.0,Male,British,Hotel,700,Train,150
"Berlin, Germany",12,31.0,Female,Hong Kong,Hotel,1500,Car rental,500
"Sydney, Aus",12,23.0,Male,French,Hotel,500,Plane,400
Canada,7,41.0,Male,Brazilian,Hostel,400,Car rental,80
Paris,11,20.0,Male,Mexican,Hostel,500,Train,300
Mexico,7,27.0,Male,British,Hotel,1200,Plane,100
"Sydney, Aus",8,26.0,Female,American,Hotel,800,Plane,1000
"Amsterdam, Netherlands",8,41.0,Male,Brazilian,Hotel,400,Plane,20
"Rome, Italy",7,33.0,Male,American,Hotel,800,Plane,400
"Bangkok, Thailand",13,30.0,Male,Japanese,Hostel,900,Bus,400
"Tokyo, Japan",14,42.0,Female,Japanese,Airbnb,800,Plane,700
Paris,11,31.0,Male,Hong Kong,Hotel,800,Plane,300
"Bali, Indonesia",7,35.0,Male,Italian,Airbnb,200,Plane,250
"Rome, Italy",8,29.0,Female,Japan,Hostel,200,Airplane,700
Dubai,8,24.0,Male,Chinese,Airbnb,800,Bus,800
London,8,37.0,Male,British,Airbnb,8000,Train,1200
"Barcelona, Spain",8,31.0,Male,British,Hotel,900,Plane,200
"Bali, Indonesia",8,37.0,Female,Korean,Resort,800,Bus,500
"Bali, Indonesia",14,35.0,Male,USA,Airbnb,600,Train,800
Australia,12,39.0,Female,USA,Villa,900,Plane,1200
"Bangkok, Thai",12,34.0,Female,USA,Vacation rental,300,Airplane,500
"Athens, Greece",8,39.0,Female,South Korea,Hotel,500,Plane,800
"Dubai, United Arab Emirates",11,25.0,Male,Spanish,Resort,200,Airplane,800
"Cape Town, SA",8,33.0,Female,Spanish,Hostel,400,Plane,800
Sydney,8,29.0,Female,Canada,Villa,800,Car,500
Paris,12,39.0,Male,Canadian,Airbnb,300,Flight,100
"London, UK",13,37.0,Male,American,Resort,600,Flight,700
"Amsterdam, Netherlands",12,28.0,Male,Italy,Airbnb,150,Train,250
Italy,8,30.0,Female,Brazilian,Hotel,700,Car rental,2000
London,8,29.0,Female,Emirati,Guesthouse,800,Plane,700
"Bali, Indonesia",14,29.0,Male,Chinese,Hotel,1000,Bus,100
"Bangkok, Thailand",7,28.0,Male,French,Hotel,900,Plane,800
"Sydney, Aus",8,41.0,Female,American,Hotel,2200,Plane,400
"Bangkok, Thailand",7,41.0,Male,South African,Airbnb,1200,Bus,800
"Bali, Indonesia",7,31.0,Male,Canadian,Hotel,500,Plane,700
Santorini,7,39.0,Male,Canada,Hotel,1500,Train,100
"Cancun, Mexico",13,31.0,Female,Spanish,Hotel,900,Plane,700
"Tokyo, Japan",7,29.0,Female,Spanish,Resort,1200,Train,100
"Tokyo, Japan",7,29.0,Female,Spanish,Hotel,2000,Plane,150
"Honolulu, Hawaii",12,29.0,Female,British,Resort,600,Plane,600
Rome,12,29.0,Female,Vietnamese,Airbnb,2500,Plane,1000
Phuket,7,25.0,Male,South Korean,Hotel,3000,Flight,150
"Sydney, AUS",10,45.0,Male,Indian,Airbnb,2000,Train,400
Rome,11,32.0,Male,Spanish,Airbnb,1100,Car rental,150
"Cancun, Mexico",10,28.0,Male,Vietnamese,Hotel,1500,Flight,150
"Bangkok, Thailand",7,27.0,Female,Chinese,Hotel,1100,Plane,2500
"Bali, Indonesia",8,26.0,Female,American,Hotel,800,Train,75
"Sydney, AUS",14,25.0,Female,British,Hotel,400,Train,600
"Honolulu, Hawaii",8,27.0,Male,Chinese,Hostel,1100,Plane,2000
"Cape Town, South Africa",8,24.0,Male,American,Hostel,900,Plane,150
Barcelona,7,36.0,Female,American,Hotel,2000,Train,3000
"Rome, Italy",12,32.0,Male,Canadian,Airbnb,800,Plane,250
Paris,8,39.0,Male,UK,Hotel,5000,Plane,100
Sydney,8,25.0,Female,Emirati,Hotel,400,Airplane,700
"Cape Town, SA",7,31.0,Female,United Arab Emirates,Airbnb,1300,Car,150
Santorini,7,30.0,Female,Indian,Resort,700,Plane,150
"Marrakech, Morocco",7,39.0,Male,Australian,Airbnb,1200,Train,50
"Bangkok, Thailand",10,34.0,Male,South African,Airbnb,400,Plane,700
"Berlin, Germany",12,42.0,Female,American,Villa,800,Bus,600
"Rome, Italy",9,27.0,Female,British,Hotel,1200,Plane,700
"Rio de Janeiro, Brazil",8,45.0,Female,British,Resort,1200,Airplane,400
"Cancun, Mexico",8,30.0,Female,Australian,Hotel,2000,Plane,80
"Bali, Indonesia",7,33.0,Male,USA,Airbnb,6000,Plane,300
Rio de Janeiro,12,35.0,Male,Korean,Hostel,1500,Flight,1000
"London, UK",8,33.0,Male,Indonesian,Hotel,800,Plane,400
"Bangkok, Thai",8,25.0,Male,American,Hotel,1200,Plane,700
New York,7,28.0,Female,Australian,Vacation rental,500,Bus,100
"Rio de Janeiro, Brazil",7,30.0,Female,Canadian,Hotel,1200,Plane,20
"Rio de Janeiro, Brazil",8,31.0,Female,Brazilian,Hotel,500,Train,700
New York,7,38.0,Female,American,Airbnb,1100,Airplane,300
France,7,38.0,Female,American,Resort,1000,Plane,700
"Sydney, Australia",7,37.0,Male,Spanish,Hotel,3000,Plane,300
"Bali, Indonesia",11,26.0,Male,American,Resort,7000,Flight,500
New York,7,32.0,Female,Canadian,Hotel,800,Subway,100
"Phuket, Thailand",8,39.0,Female,American,Hotel,1200,Train,300
Sydney,9,29.0,Male,Chinese,Resort,500,Plane,100
Canada,10,42.0,Male,American,Hotel,5000,Train,50
Mexico,7,27.0,Male,Moroccan,Hotel,2500,Flight,150
"Bali, Indonesia",13,27.0,Female,Italian,Hotel,1200,Plane,3000
Bangkok,14,39.0,Male,United Arab Emirates,Airbnb,1000,Plane,800
Japan,8,50.0,Female,Brazilian,Hotel,1000,Car rental,3000
Tokyo,8,26.0,Male,American,Hotel,400,Airplane,1000
"Cancun, Mexico",9,27.0,Male,American,Airbnb,700,Plane,600
"Berlin, Germany",7,27.0,Female,British,Hotel,3000,Car rental,100
"Paris, France",8,27.0,Male,South African,Airbnb,1500,Plane,300
Bangkok,12,33.0,Female,Brazilian,Hostel,2000,Car rental,1000
"Marrakech, Morocco",10,50.0,Male,Chinese,Riad,1200,Train,120
New York,7,27.0,Female,Canada,Hostel,900,Car rental,700
Bali,12,42.0,Female,Indonesian,Resort,1000,Train,1000
"Marrakech, Morocco",10,32.0,Male,Italian,Hotel,3000,Plane,600
Sydney,8,35.0,Male,Spanish,Hotel,1500,Flight,2500
"Bangkok, Thai",11,30.0,Male,American,Airbnb,2000,Plane,800
Sydney,8,28.0,Female,Moroccan,Hotel,900,Plane,75
"London, UK",9,27.0,Female,Chinese,Hotel,800,Plane,100
"Sydney, Aus",12,42.0,Female,Emirati,Hotel,800,Plane,150
Amsterdam,8,24.0,Female,Vietnamese,Airbnb,1000,Train,1000
Greece,8,25.0,Female,Taiwan,Villa,700,Train,50
Paris,8,29.0,Male,Spanish,Airbnb,200,Plane,2500
"Tokyo, Japan",11,42.0,Female,South Korean,Hostel,600,Train,300
"Barcelona, Spain",8,41.0,Male,Vietnamese,Guesthouse,1200,Train,600
Tokyo,9,45.0,Female,Korean,Hotel,7000,Train,200
Brazil,7,25.0,Male,Italian,Hostel,1100,Plane,100
Bali,8,45.0,Female,Moroccan,Resort,1200,Airplane,2500
London,8,34.0,Male,Japanese,Hotel,200,Train,200
"Sydney, Australia",7,28.0,Male,Cambodia,Hotel,350,Car,150
Sydney,8,31.0,Male,French,Hotel,900,Plane,300
Phuket,9,26.0,Female,South Korean,Hotel,1200,Train,50
"New York, USA",11,33.0,Male,Greece,Hostel,700,Plane,400
"Vancouver, Canada",7,28.0,Female,American,Hotel,2500,Train,3000
"Marrakech, Morocco",11,32.0,Male,Cambodia,Hotel,2000,Flight,600
"Paris, France",13,45.0,Female,Korean,Hostel,900,Train,900
Amsterdam,8,28.0,Female,South African,Villa,180,Airplane,700
Sydney,8,31.0,Male,British,Hotel,700,Train,250
"Bali, Indonesia",9,28.0,Male,Brazil,Hostel,400,Plane,150
"Tokyo, Japan",12,41.0,Female,Germany,Hotel,6000,Car rental,1000
Dubai,7,25.0,Female,South Korean,Hotel,500,Train,1500
Tokyo,10,31.0,Female,British,Hotel,300,Plane,500
"Cancun, Mexico",7,37.0,Female,Canadian,Hotel,1200,Plane,300
Bali,7,41.0,Female,Korean,Airbnb,2500,Ferry,2500
Greece,8,29.0,Male,British,Hotel,1000,Plane,700
Paris,9,27.0,Female,Indian,Airbnb,1200,Train,250
"Cape Town, SA",12,37.0,Male,British,Airbnb,800,Train,500
Dubai,8,28.0,Male,Spanish,Airbnb,400,Car rental,300
"Amsterdam, Netherlands",7,42.0,Male,American,Airbnb,1100,Plane,600
Dubai,7,39.0,Male,American,Hostel,1200,Train,300
"New York, USA",12,25.0,Female,Australian,Hotel,400,Plane,500
Sydney,8,23.0,Male,Australian,Hotel,600,Train,100
"Sydney, Aus",8,31.0,Male,American,Hostel,200,Plane,80
New York,7,32.0,Male,Japanese,Hostel,800,Plane,400
"Barcelona, Spain",7,39.0,Male,Mexican,Airbnb,500,Flight,700
"Rome, Italy",10,31.0,Male,Italian,Hostel,1400,Train,800
"Berlin, Germany",11,27.0,Female,Canadian,Hostel,400,Plane,150
London,13,28.0,Male,United Kingdom,Hotel,2000,Plane,800
Cape Town,8,31.0,Male,South Korean,Airbnb,2500,Airplane,150
"Bali, Indonesia",8,33.0,Female,French,Hotel,700,Train,200
Bangkok,8,26.0,Female,Canadian,Hostel,2500,Plane,100
"Paris, France",11,30.0,Male,Emirati,Resort,2200,Train,700
"Paris, France",14,55.0,Male,Canadian,Airbnb,1300,Train,300
Bali,8,42.0,Female,British,Hotel,200,Plane,500
Greece,9,31.0,Male,Italy,Hostel,200,Train,2000
Bali,8,35.0,Female,Korean,Airbnb,500,Train,800
Bangkok,8,45.0,Female,British,Vacation rental,3000,Train,2500
London,7,25.0,Male,Italian,Airbnb,1100,Plane,400
"Tokyo, Japan",11,29.0,Female,Australian,Hotel,900,Plane,150
"Sydney, Australia",13,34.0,Female,Dutch,Hotel,6000,Plane,500
London,7,37.0,Male,Indian,Hotel,400,Car rental,700
Rome,10,33.0,Male,Emirati,Resort,900,Train,1000
New York,8,29.0,Female,Korean,Hotel,1200,Airplane,300
New York,8,31.0,Female,Spanish,Vacation rental,1000,Plane,100
"Auckland, New Zealand",8,25.0,Male,Spanish,Hotel,1500,Plane,500
Tokyo,11,28.0,Male,Emirati,Villa,300,Plane,700
Brazil,8,32.0,Male,Brazilian,Airbnb,700,Plane,500
Santorini,11,27.0,Female,South Korean,Hotel,800,Flight,800
Paris,8,27.0,Male,South Korea,Hostel,1500,Flight,20
Brazil,13,29.0,Male,Chinese,Resort,400,Plane,400
"Amsterdam, Netherlands",7,27.0,Male,British,Airbnb,3000,Plane,1000
Spain,7,50.0,Female,Vietnamese,Airbnb,1000,Flight,800
Rome,11,20.0,Female,Germany,Hostel,1400,Flight,300
"Sydney, Aus",8,31.0,Male,New Zealander,Airbnb,600,Plane,700
Hawaii,8,47.0,Female,Spanish,Hostel,400,Plane,250
"Dubai, United Arab Emirates",8,38.0,Female,Korean,Hotel,900,Train,1000
Sydney,12,38.0,Female,American,Hotel,1400,Train,250
London,8,32.0,Female,Spain,Hostel,400,Plane,700
"Seoul, South Korea",8,37.0,Female,Spanish,Hostel,500,Bus,350
"Sydney, Australia",7,25.0,Male,American,Riad,400,Train,400
"Sydney, Australia",7,27.0,Female,Italian,Airbnb,5000,Plane,500
Sydney,9,42.0,Female,British,Riad,3000,Plane,600
Rome,14,42.0,Female,Taiwan,Hotel,300,Plane,50
Canada,11,35.0,Female,British,Airbnb,900,Train,600
"Cape Town, SA",12,29.0,Female,Dutch,Hotel,400,Train,200
"Bali, Indonesia",10,38.0,Female,British,Hotel,800,Train,100
Paris,8,27.0,Female,Canadian,Hotel,800,Car rental,800
"Paris, France",14,31.0,Male,Italian,Airbnb,1500,Car rental,300
New York,12,42.0,Male,British,Hotel,600,Plane,300
"Sydney, Aus",8,29.0,Male,Canadian,Resort,7000,Flight,3000
"Paris, France",8,25.0,Female,American,Hostel,1200,Car rental,500
Dubai,9,30.0,Female,Chinese,Airbnb,200,Plane,300
Bangkok,12,26.0,Male,Chinese,Vacation rental,500,Plane,300
London,11,31.0,Female,Emirati,Hotel,800,Plane,100
Sydney,8,29.0,Female,Korean,Riad,400,Plane,120
"Tokyo, Japan",8,29.0,Male,Korean,Hotel,1200,Plane,2000
"Tokyo, Japan",7,37.0,Female,Spain,Hostel,8000,Bus,80
"Barcelona, Spain",8,25.0,Male,American,Hostel,600,Train,1000
"Barcelona, Spain",7,33.0,Female,American,Resort,400,Car rental,100
Bali,7,31.0,Female,Australian,Hotel,700,Plane,20
"Los Angeles, USA",7,35.0,Female,American,Hostel,1300,Plane,200
"New York, USA",11,25.0,Female,Canadian,Resort,300,Airplane,2500
"London, UK",8,33.0,Male,Greece,Airbnb,1300,Plane,400
"Sydney, Australia",7,26.0,Female,British,Resort,400,Car rental,800
Bangkok,8,25.0,Female,British,Airbnb,400,Train,100
"London, UK",13,27.0,Male,British,Airbnb,900,Plane,200
Rome,9,39.0,Male,Korean,Hotel,2000,Train,1000
Cape Town,7,31.0,Female,Australian,Hostel,800,Flight,700
"Sydney, Aus",8,36.0,Female,Spanish,Hotel,1200,Car,100
"Barcelona, Spain",13,29.0,Male,American,Hostel,1200,Car,1000
Cape Town,13,45.0,Male,Spanish,Hostel,7000,Train,1200
"Amsterdam, Netherlands",7,37.0,Male,American,Hostel,400,Airplane,120
"Paris, France",13,39.0,Female,Italy,Hotel,600,Train,2500
"Cancun, Mexico",12,33.0,Female,South Korean,Resort,300,Train,500
"Marrakech, Morocco",9,45.0,Female,Chinese,Hotel,500,Flight,1000
Santorini,13,25.0,Female,Indian,Hotel,1200,Ferry,2500
Australia,8,45.0,Male,British,Hostel,1000,Car rental,2500
Phnom Penh,13,45.0,Male,American,Hotel,800,Train,75
"Tokyo, Japan",11,31.0,Female,UK,Hotel,2200,Plane,500
Tokyo,9,27.0,Male,United Kingdom,Hostel,500,Plane,1500
"Rome, Italy",12,24.0,Female,Cambodia,Airbnb,2500,Car,500
"Barcelona, Spain",14,31.0,Female,Spanish,Hotel,700,Flight,700
Seoul,7,28.0,Female,Chinese,Hostel,800,Plane,300
"Edinburgh, Scotland",12,45.0,Female,Australian,Resort,1000,Bus,250
"Sydney, Australia",8,27.0,Female,United Kingdom,Hostel,1000,Train,300
Dubai,8,31.0,Female,American,Hotel,500,Plane,200
Dubai,8,45.0,Female,American,Hotel,300,Car,300
Paris,8,37.0,Male,Spain,Hotel,3000,Train,1000
"Athens, Greece",12,39.0,Male,Mexican,Hostel,700,Bus,200
Tokyo,8,29.0,Male,Chinese,Airbnb,400,Car rental,80
Bangkok,12,46.0,Male,Chinese,Villa,400,Train,600
Bangkok,11,39.0,Male,Dutch,Airbnb,1000,Train,100
Tokyo,11,27.0,Male,British,Airbnb,1000,Flight,700
Amsterdam,8,26.0,Male,Korean,Resort,800,Car rental,300
Paris,12,39.0,Female,British,Hotel,1000,Train,700
"Vancouver, Canada",7,39.0,Male,American,Airbnb,400,Subway,1000
"Bali, Indonesia",11,42.0,Male,British,Hostel,900,Car rental,1000
Tokyo,8,35.0,Male,American,Airbnb,800,Bus,300
"Amsterdam, Netherlands",7,33.0,Male,Korean,Hotel,1500,Bus,800
"Cancun, Mexico",8,30.0,Male,South Korean,Airbnb,800,Car,300
Cape Town,10,37.0,Male,Hong Kong,Hotel,5000,Plane,1500
"Sydney, Aus",8,39.0,Female,American,Airbnb,2500,Train,150
"Tokyo, Japan",12,30.0,Female,United Arab Emirates,Hotel,700,Bus,800
"Paris, France",11,29.0,Female,Canadian,Hotel,1500,Train,2500
London,7,27.0,Male,Australian,Airbnb,300,Plane,2500
"Barcelona, Spain",8,27.0,Male,Chinese,Airbnb,500,Plane,1000
Tokyo,7,27.0,Female,United Arab Emirates,Hotel,800,Train,1200
"London, UK",8,25.0,Female,Spanish,Airbnb,700,Train,300
"Rome, Italy",8,28.0,Male,American,Hotel,1200,Train,700
Brazil,11,26.0,Male,Korean,Airbnb,200,Flight,100
"Los Angeles, USA",13,31.0,Male,Australian,Hostel,5000,Train,100
"Bangkok, Thailand",11,23.0,Male,Australian,Airbnb,700,Bus,2500
"Seoul, South Korea",12,42.0,Male,British,Hotel,5000,Car rental,150
"Seoul, South Korea",12,30.0,Female,Mexican,Hostel,800,Plane,150
"Barcelona, Spain",8,26.0,Male,Indian,Airbnb,300,Train,300
Tokyo,7,39.0,Male,South African,Hotel,3000,Train,800
"Honolulu, Hawaii",13,31.0,Male,South Korean,Hotel,1200,Train,50
"Vancouver, Canada",8,45.0,Male,Brazilian,Airbnb,150,Plane,20
"Barcelona, Spain",7,26.0,Female,American,Resort,400,Plane,800
"Tokyo, Japan",11,31.0,Male,Taiwan,Hotel,900,Airplane,50
"Berlin, Germany",11,29.0,Female,British,Villa,900,Plane,3000
Tokyo,4,45.0,Female,British,Hotel,1200,Train,250
Spain,7,45.0,Female,Korean,Hotel,300,Car rental,150
"Athens, Greece",12,25.0,Male,Australian,Airbnb,400,Subway,700
Cape Town,9,26.0,Male,Korean,Hostel,400,Train,100
"Paris, France",8,31.0,Female,Korean,Resort,1500,Plane,800
"Seoul, South Korea",8,26.0,Female,United Arab Emirates,Vacation rental,400,Car rental,3000
"Barcelona, Spain",8,31.0,Male,Chinese,Guesthouse,400,Plane,700
Thailand,8,29.0,Female,Vietnamese,Villa,150,Car,80
"Cancun, Mexico",8,37.0,Male,South Korean,Hotel,2200,Plane,1000
Bali,8,40.0,Female,British,Airbnb,900,Plane,150
Rome,8,29.0,Female,Canadian,Hotel,400,Plane,700
"Bali, Indonesia",8,28.0,Female,USA,Hostel,1400,Car rental,1200
Barcelona,7,35.0,Male,American,Airbnb,5000,Airplane,100
Amsterdam,11,29.0,Male,British,Hostel,900,Plane,300
"Los Angeles, USA",8,32.0,Female,South African,Hostel,300,Train,200
"Tokyo, Japan",12,26.0,Female,Italy,Hostel,1200,Car rental,500
"Auckland, New Zealand",8,45.0,Male,British,Resort,300,Plane,150
Bali,7,45.0,Male,Indian,Hostel,300,Plane,1200
Paris,11,34.0,Female,American,Hotel,1000,Train,200
New York,11,42.0,Male,South Korean,Airbnb,1400,Airplane,100
"Rio de Janeiro, Brazil",11,29.0,Female,Italian,Airbnb,600,Car,700
"Honolulu, Hawaii",7,38.0,Male,Canadian,Airbnb,1800,Subway,2000
Santorini,10,34.0,Male,Hong Kong,Hotel,1100,Flight,700
"New York City, USA",8,37.0,Female,South Korean,Resort,1000,Train,700
"Paris, France",14,29.0,Male,Taiwanese,Hostel,700,Plane,50
London,8,31.0,Male,British,Resort,800,Plane,800
"Cape Town, SA",11,37.0,Female,Chinese,Airbnb,700,Car rental,75
Paris,8,30.0,Male,Spain,Villa,1400,Subway,200
Bali,8,37.0,Female,Brazil,Hotel,500,Airplane,500
"Sydney, Aus",13,32.0,Male,Japan,Hostel,900,Train,800
"Auckland, New Zealand",8,29.0,Male,Australian,Guesthouse,500,Bus,700
Paris,8,25.0,Female,Korean,Hostel,900,Plane,700
"Sydney, Aus",8,35.0,Female,British,Hotel,1200,Airplane,150
Phuket,8,32.0,Male,Indian,Airbnb,2000,Car,1500
"Tokyo, Japan",9,26.0,Male,American,Airbnb,900,Plane,200
"Tokyo, Japan",8,29.0,Male,British,Hotel,900,Plane,700
Bangkok,10,30.0,Male,Italian,Hostel,1300,Train,600
"Marrakech, Morocco",11,27.0,Male,Mexican,Airbnb,800,Flight,2000
"Edinburgh, Scotland",12,27.0,Female,Canadian,Airbnb,7000,Train,100
Paris,8,33.0,Male,South African,Airbnb,5000,Plane,600
"Cape Town, SA",10,32.0,Female,Italian,Hotel,1200,Flight,300
"Paris, France",8,45.0,Female,Australian,Guesthouse,500,Plane,150
London,12,27.0,Female,British,Hotel,500,Plane,50
"Marrakech, Morocco",8,24.0,Male,Indian,Hotel,400,Train,250
Tokyo,8,41.0,Female,Australian,Hostel,8000,Plane,800
"Tokyo, Japan",8,39.0,Male,South African,Hotel,6000,Plane,150
"Rio de Janeiro, Brazil",10,34.0,Female,American,Airbnb,7000,Flight,400
"Rio de Janeiro, Brazil",12,43.0,Male,Italy,Resort,900,Flight,1200
"Vancouver, Canada",11,31.0,Female,Chinese,Hostel,400,Plane,600
Paris,8,36.0,Male,Moroccan,Hotel,350,Plane,800
"Amsterdam, Netherlands",7,29.0,Female,Australian,Villa,1100,Flight,200
"Bangkok, Thailand",8,30.0,Male,British,Hotel,600,Plane,100
Dubai,13,33.0,Female,South Korean,Vacation rental,2200,Train,100
London,10,31.0,Female,South Korea,Airbnb,900,Ferry,800
"Cape Town, South Africa",7,29.0,Male,Moroccan,Hostel,1000,Train,100
Tokyo,8,31.0,Male,American,Hotel,1100,Train,350
"Sydney, Australia",12,33.0,Male,Australian,Hostel,1100,Plane,1000
Phnom Penh,8,27.0,Male,American,Airbnb,800,Train,300
Canada,10,45.0,Male,Germany,Hotel,1000,Car rental,800
"Sydney, AUS",8,31.0,Male,Taiwanese,Riad,1500,Train,150
Santorini,7,29.0,Female,Italian,Hostel,1000,Flight,100
"Bangkok, Thailand",12,29.0,Male,Vietnamese,Hotel,1500,Train,300
"Sydney, Aus",11,28.0,Female,Spanish,Airbnb,700,Plane,150
Spain,10,26.0,Male,American,Hostel,1100,Plane,20
Rome,7,50.0,Female,Taiwanese,Hotel,500,Bus,100
Sydney,8,30.0,Female,Hong Kong,Hotel,200,Airplane,700
"Cape Town, SA",9,24.0,Female,British,Airbnb,2200,Plane,300
New York,13,31.0,Female,American,Villa,1200,Train,700
New York,8,28.0,Male,Emirati,Hostel,800,Car rental,100
Sydney,10,25.0,Female,British,Hotel,300,Car rental,600
"Sydney, Australia",7,38.0,Female,UK,Airbnb,1100,Car,150
"Dubai, United Arab Emirates",8,45.0,Male,American,Airbnb,1400,Bus,200
"Rio de Janeiro, Brazil",7,35.0,Male,Australian,Hostel,600,Plane,1500
"Phuket, Thailand",8,30.0,Male,American,Hotel,500,Bus,400
Bali,7,40.0,Male,UK,Airbnb,1200,Plane,2000
Amsterdam,8,36.0,Male,American,Resort,1500,Plane,700
Cape Town,7,42.0,Female,Germany,Resort,1100,Plane,120
Bangkok,7,27.0,Male,American,Hotel,1200,Plane,1000
Barcelona,12,28.0,Female,South African,Hotel,600,Flight,200
"Bangkok, Thailand",8,31.0,Male,Chinese,Hotel,400,Train,1000
Paris,11,45.0,Male,Spanish,Hostel,1200,Plane,150
Bali,8,41.0,Male,Emirati,Hotel,300,Plane,700
"Bangkok, Thailand",8,39.0,Male,American,Hotel,1000,Subway,600
"Sydney, Aus",8,28.0,Female,Korean,Resort,500,Train,1000
New York,8,43.0,Male,American,Hotel,1100,Flight,250
"Bangkok, Thailand",9,45.0,Female,British,Hotel,150,Train,600
"Sydney, Australia",9,27.0,Female,American,Airbnb,1400,Car,1000
"Cape Town, SA",12,36.0,Male,South African,Hotel,300,Ferry,120
Paris,9,25.0,Female,Korean,Resort,1200,Plane,2500
"Berlin, Germany",8,45.0,Female,Chinese,Hostel,350,Bus,150
